FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f29,492800,POINT (16.36343588137236 48.24900816055259),PA 12. Februar-Platz,19,"Drehen, Karussell","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f28,492801,POINT (16.363756643639203 48.249927836397525),PA 12. Februar-Platz,19,"Karussell, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f27,492802,POINT (16.367742797741876 48.193136931940025),Ernst-Jandl-Park,4,"Klettern, Rutschen, Sandspielen, Schaukeln",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f26,492803,POINT (16.30016653608557 48.19489078035118),Matzner-Park,14,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f25,492804,POINT (16.30311708691915 48.195705152725985),Matzner-Park,14,"Basketball, Fußball, Klettern, Malen, Reck, Rutschen, Sandspielen, Schaukeln, Trampolin, Wippen","Ballspielkäfig, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f24,492805,POINT (16.334671531674665 48.18774084029982),Sechshauser Park,15,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Themenspiel Sechshausen, Wippen","Ballspielkäfig, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f23,492806,POINT (16.378202387878602 48.21436064473444),Manes-Sperber-Park,2,"Balancieren, Basketball, Fußball, Karussell, Sand-Matsch, Sandspielen, Schaukeln, Volleyball","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f22,492807,POINT (16.409652852746603 48.172040286933935),Herderpark,11,"Basketball, Brettspiel, Fußball, Tischtennis","Ballspielkäfig, Ballspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f21,492808,POINT (16.411104762073016 48.17369775603947),Herderpark,11,"Basketball, Karussell, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f20,492809,POINT (16.338247820497866 48.17851796385735),Wilhelmsdorfer Park,12,"Basketball, Fußball, Rutschen, Volleyball","Ballspielkäfig, Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f1f,492810,POINT (16.33945901877176 48.178151904734484),Wilhelmsdorfer Park,12,"Balancieren, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f1e,492811,POINT (16.36763596727672 48.16637413956813),PA Migerkastraße,10,"Drehen, Klettern, Rutschen, Sandspielen, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f1d,492812,POINT (16.3005672795626 48.23943334627258),PA Ladenburghöhe,18,"Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f1c,492813,POINT (16.442522611009792 48.253165600672894),PA Aladar-Pecht-Gasse,22,Basketball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f1b,492814,POINT (16.44371017521145 48.25315612313472),PA Aladar-Pecht-Gasse,22,"Karussell, Nestschaukel, Wippe",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f1a,492815,POINT (16.41482848019448 48.21903886811269),Rechter Donaudamm Spielplatz 2,2,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f19,492816,POINT (16.347144528559024 48.182370270743135),PA Mittelzone,12,"Fußball, Streetball","Ballspielkäfig, Ballspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f18,492817,POINT (16.34605728902422 48.18374029227824),PA Mittelzone,5,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f17,492818,POINT (16.33491121791974 48.21454732848459),GA Ottakringer Straße,16,Geschicklichkeitsspiel,Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f16,492819,POINT (16.41785140656668 48.1828095372034),PA Hallergasse,11,"Balancieren, Basketball, Fitness, Fußball, Klettern, Schaukeln","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Spielplatz",
